wikiStats|id

redirects|6797
r|Templat:Wpbannermeta/locwarning|Templat:WPBannerMeta/locwarning
r|Templat:Margacinta, Bandung|Templat:Buahbatu, Bandung
r|Templat:Fb-start|Templat:Fb start
r|Templat:Football squad player|Templat:Fs player
r|Templat:Kabupaten Pasir|Templat:Kabupaten Paser
r|Templat:Number|Templat:Angka
r|Templat:Yapsi, jayapura|Templat:Yapsi, Jayapura
r|Templat:Blue|Templat:Biru
r|Templat:Kotak info ibu kota india|Templat:Kotak info yuridiksi india
r|Templat:Wonoayu, sidoarjo|Templat:Wonoayu, Sidoarjo
r|Templat:Jmdb title|Templat:Jmdb judul
r|Templat:Jct/plate/NV/4|Templat:Jct/plate/4
r|Templat:Country data Southern Rhodesia|Templat:Country data Rhodesia Selatan
r|Templat:Peta Turkmenistan|Templat:Peta lokasi Turkmenistan
r|Templat:Tambahinfobox|Templat:Tambah infobox
r|Templat:Title|Templat:Judul
r|Templat:Categorytree|Templat:Pohon kategori
r|Templat:Infobox American Political Party|Templat:Infobox American political party
r|Templat:Country data Saint Vincent and the Grenadines|Templat:Country data Saint Vincent dan Grenadines
r|Templat:Future building|Templat:Bangunan yang dibangun
r|Templat:Country data MRI|Templat:Country data Mauritius
r|Templat:Templat berisiko tinggi/stub|Templat:Templat berisiko tinggi/Stub
r|Templat:Mainarticle|Templat:Main
r|Templat:Politics of Cambodia|Templat:Politik Kamboja
r|Templat:Genrebox|Templat:Infobox music genre
r|Templat:Skuat Stade Rennais|Templat:Skuat Stade Rennais F.C.
r|Templat:Kotak Info Wakil Gubernur|Templat:Infobox Officeholder
r|Templat:Country data ARG|Templat:Country data Argentina
r|Templat:Stasiun radio di as|Templat:Stasiun radio di AS
r|Templat:Infobox Dotcom company|Templat:Kotakinfo Perusahaan Online
r|Templat:Junrejo, Kota Batu|Templat:Junrejo, Batu
r|Templat:HariIniDalamSejarah/26 Desember|Templat:Hari Ini Dalam Sejarah/Desember
r|Templat:Empire|Templat:Kekaisaran
r|Templat:UK|Templat:GBR
r|Templat:GP2013/Bawah|Templat:GP2012/Bawah
r|Templat:Country data GBR|Templat:Country data Britania Raya
r|Templat:Serengan, Surakarta|Templat:Surakarta
r|Templat:Daftar Daerah Tingkat II Jawa Barat|Daftar kabupaten dan kota di Jawa Barat
r|Templat:Musim kompetisi PSSI 1951–94|Templat:Musim liga sepak bola Indonesia
r|Templat:TV network logos|Templat:Logo saluran televisi
r|Templat:Birth date and age|Templat:Tanggal lahir dan umur
r|Templat:Infobox Language/family-color/doc|Templat:Infobox Bahasa/family-color/doc
r|Templat:Infobox academic|Templat:Infobox Scientist
r|Templat:Location map New Zealand|Templat:Location map Selandia Baru
r|Templat:Pengguna akuntansi|Templat:Pengguna peminat akuntansi
r|Templat:ArtikelBermasalah|Templat:Artikel bermasalah
r|Templat:Legenda urban jepang|Templat:Legenda urban Jepang
r|Templat:Korea-tv-stub|Templat:TV-stub
r|Templat:Infobox officeholder/Personal data|Templat:Infobox Officeholder/Personal data
r|Templat:LastEditedBy|Templat:Suntingan terakhir
r|Templat:Malay name|Templat:Nama Melayu
r|Templat:Parenggean|Templat:Parenggean, Kotawaringin Timur
r|Templat:Pranalalisensi|Templat:Pranala lisensi
r|Templat:Maskapai kawasan|Templat:Maskapaipenerbangankawasan
r|Templat:Navigation with image|Templat:Navbox
r|Templat:Painting|Templat:Infobox karya seni
r|Templat:Pecinan2|Templat:Pecinan
r|Templat:HariIniDalamSejarah/10 Januari|Templat:Hari Ini Dalam Sejarah/Januari
r|Templat:Navbox Indonesia/doc/3|Templat:Navigasi ID/doc/3
r|Templat:Documentation|Templat:Dokumentasi
r|Templat:Number/doc|Templat:Angka/doc
r|Templat:Kelurahan dati1|Templat:Kelurahandiprovinsi
r|Templat:Grc|Templat:GRC
r|Templat:Infobox Defunct company|Templat:Infobox Defunct Company
r|Templat:The x factor|Templat:The X Factor
r|Templat:Ura|Templat:URA
r|Templat:T1|Templat:Tl
r|Templat:Daftarfiraun/masapertengahan1|Daftar raja Mesir kuno/masapertengahan1
r|Templat:Alih dari bahasa asing|Templat:Pengalihan dari bahasa lain
r|Templat:VIN|Templat:VCT
r|Templat:Uluere, bantaeng|Templat:Uluere, Bantaeng
r|Templat:Country data Antillen belanda|Templat:Country data Antillen Belanda
r|Templat:Country data ZAF|Templat:Country data Afrika Selatan
r|Templat:Ternate tengah, ternate|Templat:Ternate Tengah, Ternate
r|Templat:Country data Holy See|Templat:Country data Tahta Suci
r|Templat:Infobox Philippine city|Templat:Infobox settlement
r|Templat:Parpol1977-1997|Templat:Parpol1977–1997
r|Templat:TCI|Templat:TCA
r|Templat:Sepak bola di Pesta Olahraga Negara-Negara Asia Tenggara|Templat:SB SEA Games
r|Templat:In browse|Templat:Infobox road/IN browse
r|Templat:Country data DDR|Templat:Country data Jerman Timur
r|Templat:Kategoririntisan|Templat:Kategori rintisan
r|Templat:For|Templat:Untuk
r|Templat:Waktu emas|Templat:Waktu Emas
r|Templat:Pembagianadministratifbenua|Templat:Pembagian administratif kawasan
r|Templat:Pengguna Chrome|Templat:Pengguna Google Chrome
r|Templat:Infobox route/OR browse|Templat:Infobox road/OR browse
r|Templat:Country data Shimane Prefecture|Templat:Country data Shimane
r|Templat:Location map Lithuania|Templat:Location map Lituania
r|Templat:Choctaw County, Alabama|Templat:County Choctaw, Alabama
r|Templat:Perkapan|Templat:Kapan
r|Templat:Country data Teritori Antarktika Britania|Templat:Country data Wilayah Antarktika Britania
r|Templat:Twoleg start|Templat:TwoLeg start
r|Templat:BorsaItaliana|Templat:ISE
r|Templat:Country data ESP|Templat:Country data Spanyol
r|Templat:Infobox rugby league football competition|Templat:Kotak info kompetisi liga rugbi
r|Templat:Kualifikasi Piala Dunia FIFA 2014 – Babak Kedua Zona Asia Grup C|Templat:KPD2014 – B3 Asia Grup C
r|Templat:Infobox Slovak town|Templat:Infobox settlement
r|Templat:Walikota Medan|Templat:Wali kota Medan
r|Templat:Tokoh mahabharata|Templat:Tokoh Mahabharata
r|Templat:Alias untuk negara/doc|Templat:Alias negara/doc
r|Templat:Country data Madagascar|Templat:Country data Madagaskar
r|Templat:Country data Prefektur Oita|Templat:Country data Oita
r|Templat:Nation alias|Templat:Alias negara
r|Templat:Paragraf|Templat:Paragraf pembuka
r|Templat:Infobox Paranormalplaces|Templat:Infobox paranormal place
r|Templat:Location map Maldives|Templat:Location map Maladewa
r|Templat:Infobox Space mission|Templat:Infobox space mission
r|Templat:Country data Belgian Congo|Templat:Country data Kongo Belgia
r|Templat:Covington County, Alabama|Templat:County Covington, Alabama
r|Templat:Gabungke|Templat:Gabungkepada
r|Templat:Selamatdatang/En|Templat:Selamat datang/En
r|Templat:Country data Electorate of Saxony|Templat:Country data Elektorat Sachsen
r|Templat:HariIniDalamSejarah/31 Juli|Templat:Hari Ini Dalam Sejarah/Juli
r|Templat:Country data Jateng|Templat:Country data Jawa Tengah
r|Templat:Country data ESA|Templat:Country data El Salvador
r|Templat:Pengguna rollbacker|Templat:Pengguna pengembali revisi
r|Templat:Timnasu|Templat:TimnasU
r|Templat:Seri D|Templat:Serie D
r|Templat:Country data SWE|Templat:Country data Swedia
r|Templat:Country data Northern Cyprus|Templat:Country data Siprus Utara
r|Templat:Timor Leste-geo-stub|Templat:TimorLeste-geo-stub
r|Templat:Elementbox isotopes end|Templat:End
r|Templat:8TeamBracket-Tennis3|Templat:8TeamBracket-Badminton
r|Templat:Country data Upper Volta|Templat:Country data Volta Hulu
r|Templat:Selamatdatang/Editintro3|Templat:Selamat datang/Editintro3
r|Templat:Pengguna pati|Templat:Pengguna Pati
r|Templat:HariIniDalamSejarah/6 Januari|Templat:Hari Ini Dalam Sejarah/Januari
r|Templat:Kuala Lumpur Composite Index|Templat:Bursa Malaysia
r|Templat:Bio-indo-stub|Templat:Indo-bio-stub
r|Templat:Daftar Daerah Tingkat II Sumatera Barat|Daftar kabupaten dan kota di Sumatera Barat
r|Templat:Kotak info Polandia|Templat:Infobox settlement
r|Templat:Kotak info karakter Harry Potter|Templat:Infobox Harry Potter
r|Templat:Lccn|Templat:LCCN
r|Templat:Tidak Setuju|Templat:Tidak setuju
r|Templat:Kerajaan di Sunda Kecil|Templat:Kerajaan di Kepulauan Nusa Tenggara
r|Templat:HariIniDalamSejarah/5 November|Templat:Hari Ini Dalam Sejarah/November
r|Templat:Negara Bagian dan Wilayah India Map Label|Templat:Peta India
r|Templat:Location map Indonesia Sulawesi|Templat:Location map Sulawesi Topography
r|Templat:Pokemon gender|Templat:Infobox spesies Pokémon/gender
r|Templat:FAR|Templat:FRO
r|Templat:Country data NFK|Templat:Country data Pulau Norfolk
r|Templat:Navigate cities and municipalities in Pinneberg (district)|Templat:Cities and towns in Pinneberg (district)
r|Templat:Seri C2/C|Templat:Seri C2
r|Templat:Sydney Urban Areas Labelled Map|Templat:Sydney image with region labels
r|Templat:Amerika-stub|Templat:AS-stub
r|Templat:Pengguna aries|Templat:Pengguna Aries
r|Templat:HariIniDalamSejarah/15 Maret|Templat:Hari Ini Dalam Sejarah/Maret
r|Templat:Daftar Daerah Tingkat II Sulawesi Barat|Daftar kabupaten dan kota di Sulawesi Barat
r|Templat:Daftar Daerah Tingkat II Irian Jaya Barat|Daftar kabupaten dan kota di Papua Barat
r|Templat:Partai Pheu Thai/meta/shortname|Partai Phue Thai
r|Templat:Infobox Burmesestatedivision|Templat:Infobox settlement
r|Templat:Babelbox-1|Templat:Babel-box
r|Templat:MAN|Templat:IMN
r|Templat:Diskografi Chrisye|Templat:Chrisye
r|Templat:Jmdb name/doc|Templat:Jmdb nama/doc
r|Templat:Location map Cape Verde|Templat:Location map Tanjung Verde
r|Templat:Psikologi manipulasi|Templat:Manipulasi psikologi
r|Templat:Campaignbox American Revolutionary War: Philadelphia|Templat:Kotak kampanye Perang Revolusi Amerika Serikat: Philadelphia
r|Templat:Country data CUB|Templat:Country data Kuba
r|Templat:Daftar Daerah Tingkat II Kalimantan Selatan|Daftar kabupaten dan kota di Kalimantan Selatan
r|Templat:TNI-AL flag|Templat:Bendera TNI-AL
r|Templat:Gambar uang|Templat:GambarUang
r|Templat:BayiWidyawan|Templat:Pengguna BayiWidyawan
r|Templat:Country data Korea, North|Templat:Country data Korea Utara
r|Templat:Pengguna Wii|Templat:Pengguna Nintendo Wii
r|Templat:Rakesh Roshan Films|Templat:Rakesh Roshan
r|Templat:HariIniDalamSejarah/24 Maret|Templat:Hari Ini Dalam Sejarah/Maret
r|Templat:Angkatan Udara|Templat:Angkatan udara
r|Templat:Country data Cook|Templat:Country data Kepulauan Cook
r|Templat:ColBreak|Templat:Multicol-break
r|Templat:Country data CPV|Templat:Country data Tanjung Verde
r|Templat:Skuad PD2010 Perancis|Templat:Skuat PD2010 Perancis
r|Templat:Country data Algeria|Templat:Country data Aljazair
r|Templat:HariIniDalamSejarah/3 Januari|Templat:Hari Ini Dalam Sejarah/Januari
r|Templat:Support|Templat:Setuju
r|Templat:Country data U.S. Virgin Islands|Templat:Country data Kepulauan Virgin Amerika Serikat
r|Templat:Pesisir Tengah, Lampung Barat|Templat:Pesisir Tengah, Pesisir Barat
r|Templat:Country data IRE|Templat:Country data Republik Irlandia
r|Templat:Country data Yamanashi Prefecture|Templat:Country data Yamanashi
r|Templat:Location map Norway|Templat:Location map Norwegia
r|Templat:Country data Saitama Prefecture|Templat:Country data Saitama
r|Templat:Location map Location map Indonesia|Templat:Location map Indonesia
r|Templat:Country data HUN|Templat:Country data Hongaria
r|Templat:Country data GAM|Templat:Country data Gambia
r|Templat:Fy|Templat:Filmyear
r|Templat:Software-stub|Templat:Perangkat lunak-stub
r|Templat:Maliku|Templat:Maliku, Pulang Pisau
r|Templat:Country data Martinique|Templat:Country data Martinik
r|Templat:Roman/doc|Templat:Romawi/doc
r|Templat:Kembali|Templat:Kembali ke
r|Templat:Country data Saint Barthelemy|Templat:Country data Saint-Barthélemy
r|Templat:Bintangwiki Olahraga|Templat:BintangWiki Olahraga
r|Templat:Firefly Studios Stronghold video games|Templat:Stronghold series
r|Templat:English statistics year|Templat:United Kingdom statistics year
r|Templat:HariIniDalamSejarah/19 Januari|Templat:Hari Ini Dalam Sejarah/Januari
r|Templat:Kbbid2|Templat:KBBI daring2
r|Templat:Pemukimanbenua|Templat:Pemukiman kawasan
r|Templat:Mata uang-stub|Templat:Keuangan-stub
r|Templat:Wpbannermeta/qualityscale|Templat:WPBannerMeta/qualityscale
r|Templat:Cleburne County, Alabama|Templat:County Cleburne, Alabama
r|Templat:Negara bagian dan teritori Australia|Templat:Australia
r|Templat:Wonosalam, jombang|Templat:Wonosalam, Jombang
r|Templat:Time bokan|Templat:Time Bokan
r|Templat:Bandara di vietnam|Templat:Bandara di Vietnam
r|Templat:Location map Location map Indonesia Kalimantan|Templat:Location map Indonesia Kalimantan
r|Templat:SerialAsterix|Templat:Asterix
r|Templat:VN Airports|Templat:Bandara di Vietnam
r|Templat:Country data the Bahamas|Templat:Country data Bahama
r|Templat:IPAudio|Templat:Audio-IPA
r|Templat:Germany Squad 2006 World Cup|Templat:Skuat PD2006 Jerman
r|Templat:Country data TRNC|Templat:Country data Siprus Utara
r|Templat:Perubahan fase|Templat:Perubahan zat
r|Templat:HariIniDalamSejarah/29 Maret|Templat:Hari Ini Dalam Sejarah/Maret
r|Templat:Infobox Australian museum|Templat:Infobox Museum
r|Templat:Country data SGP|Templat:Country data Singapura
r|Templat:Liga Indonesia|Templat:Sepak bola di Indonesia
r|Templat:Tigalingga, dairi|Templat:Tigalingga, Dairi
r|Templat:HariIniDalamSejarah/21 Agustus|Templat:Hari Ini Dalam Sejarah/Agustus
r|Templat:Football League Two|Templat:Liga Dua Inggris
r|Templat:Fbrev|Templat:Pendapatan Facebook/persentase
r|Templat:Airport image|Templat:Infobox Bandara
r|Templat:Location map Italy|Templat:Location map Italia
r|Templat:Convinfobox/prisecter3|Templat:Convinfobox/prisec3
r|Templat:Infobox sungai|Templat:Infobox river
r|Templat:Angkatan laut/Bendera/doc|Templat:Angkatan laut/Bendera
r|Templat:Lithuania-bio-stub|Templat:Lituania-bio-stub
r|Templat:StatusEndangered|Templat:StatusTerancam
r|Templat:Official Website|Templat:Official
r|Templat:Country data Ōita Prefecture|Templat:Country data Oita
r|Templat:Country data Prefektur Yamanashi|Templat:Country data Yamanashi
r|Templat:Country data Negeri Valencia|Templat:Country data Valencian Community
r|Templat:Awalan Indonesia|Templat:Prefiks Indonesia
r|Templat:Infobox Language|Templat:Infobox Bahasa
r|Templat:Infobox Organization|Templat:Kotak info organisasi
r|Templat:Country data North Vietnam|Templat:Country data Vietnam Utara
r|Templat:Country data UK|Templat:Country data Britania Raya
r|Templat:Garis waktu tradisi Buddhisme/doc|Templat:Garis waktu Buddhisme/doc
r|Templat:HariIniDalamSejarah/23 November|Templat:Hari Ini Dalam Sejarah/November
r|Templat:Country data Russian SFSR|Templat:Country data RSFS Rusia
r|Templat:Infobox comarca|Templat:Infobox settlement
r|Templat:HariIniDalamSejarah/1 Februari|Templat:Hari Ini Dalam Sejarah/Februari
r|Templat:Country data Republik Sosialis Soviet Lituania|Templat:Country data RSS Lituania
r|Templat:Kotak info negara|Templat:Infobox Country
r|Templat:Sekolah Menengah Pertama|Templat:SMP di Indonesia
r|Templat:Britania Raya-bio-stub|Templat:BritaniaRaya-bio-stub
r|Templat:Country data the Czech Republic|Templat:Country data Ceko
r|Templat:Banggai, Banggai Kepulauan|Templat:Banggai, Banggai Laut
r|Templat:Cn|Templat:Fact
r|Templat:Airport codes|Templat:Kode bandara
r|Templat:Infobox language/signnotice|Templat:Infobox Bahasa/signnotice
r|Templat:Pegulat wwe|Templat:Pegulat WWE
r|Templat:Urutan waktu PD II|Templat:Urutan waktu PDII
r|Templat:Timor Leste-stub|Templat:TimorLeste-stub
r|Templat:Convert/-/AoffSoffNa|Templat:Convert/-/AoffSoff
r|Templat:Redireksi|Templat:Redirect
r|Templat:Terjemah-berkas|Templat:Terjemah-gambar
r|Templat:Country data Hyōgo Prefecture|Templat:Country data Hyogo
r|Templat:Zh-cl|Templat:Zh-all
r|Templat:Korea Selatan-geo-stub|Templat:KoreaSelatan-geo-stub
r|Templat:Infobox nobility|Templat:Infobox noble
r|Templat:Campaignbox Campaigns of Muhammad|Templat:Pertempuran Muhammad
r|Templat:Nanggroe Aceh Darussalam|Templat:Aceh
r|Templat:Convert/LinAoffDbSoffNa|Templat:Convert/LinAoffDbSoff
r|Templat:!w|Templat:!wrap
r|Templat:Portal box/doc|Templat:Portal/doc
r|Templat:Britania-geo-stub|Templat:BritaniaRaya-geo-stub
r|Templat:Country data Kalbar|Templat:Country data Kalimantan Barat
r|Templat:Country data Micronesia|Templat:Country data Federasi Mikronesia
r|Templat:High-risk|Templat:Templat berisiko tinggi
r|Templat:Feminism|Templat:Feminisme
r|Templat:Click|Templat:Klik
r|Templat:Wmd|Templat:WMD
r|Templat:PD-WorldWind|Templat:DU-WorldWind
r|Templat:Country data Republik Sosialis Soviet Azerbaijan|Templat:Country data RSS Azerbaijan
r|Templat:Babel-4|Templat:Babel
r|Templat:TAJ|Templat:TJK
r|Templat:Dubai-area|Templat:Permukiman di Dubai
r|Templat:Period color|Templat:Warna periode
r|Templat:Kota di Amerika Serikat|Templat:Kota di AS
r|Templat:Nation alias/doc|Templat:Alias negara/doc
r|Templat:Kec-atas|Templat:Kecamatan
r|Templat:URU|Templat:URY
r|Templat:HariIniDalamSejarah/6 Juli|Templat:Hari Ini Dalam Sejarah/Juli
r|Templat:HariIniDalamSejarah/2 Maret|Templat:Hari Ini Dalam Sejarah/Maret
r|Templat:Infobox dot-com company|Templat:Kotakinfo Perusahaan Online
r|Templat:Country flagcountry2/doc|Templat:Flagcountry/core/doc
r|Templat:Country data Heard Island and McDonald Islands|Templat:Country data Pulau Heard dan Kepulauan McDonald
r|Templat:Infobox museum|Templat:Infobox Museum
r|Templat:Infobox computer|Templat:Infobox information appliance
r|Templat:HariIniDalamSejarah/12 Juli|Templat:Hari Ini Dalam Sejarah/Juli
r|Templat:Infobox terrorist attack|Templat:Infobox civilian attack
r|Templat:HariIniDalamSejarah/13 Maret|Templat:Hari Ini Dalam Sejarah/Maret
r|Templat:Game F1|Templat:Formula One games
r|Templat:UEA|Templat:ARE
r|Templat:Tokoh|Templat:Infobox Person
r|Templat:Skuad Persijap|Templat:Skuat Persijap
r|Templat:HariIniDalamSejarah|Templat:Hari Ini Dalam Sejarah
r|Templat:Hpp|Templat:Halaman pembicaraan pengguna
r|Templat:Governorat Tunisia|Templat:Kegubernuran Tunisia
r|Templat:Dino-stub|Templat:Dinosaurus-stub
r|Templat:Skuat Osasuna|Templat:Skuat CA Osasuna
r|Templat:Disambiguasi|Templat:Disambig
r|Templat:\w|Templat:\wrap
r|Templat:Satuan militer|Templat:Chain of Command
r|Templat:Universitas umum di perancis|Templat:Universitas Umum di Perancis
r|Templat:NPOV|Templat:Tak netral
r|Templat:Comment|Templat:Komentar
r|Templat:Laham, Kutai Barat|Templat:Laham, Mahakam Ulu
r|Templat:History of Japan|Templat:Sejarah Jepang
r|Templat:User Capricorn|Templat:Pengguna Capricorn
r|Templat:Country data China Taipei|Templat:Country data Cina Taipei
r|Templat:HariIniDalamSejarah/18 Mei|Templat:Hari Ini Dalam Sejarah/Mei
r|Templat:Pilpres as 2008|Templat:Pilpres AS 2008
r|Templat:Fb round2 2012-13 UEL GS|Templat:Fb round2 2012–13 UEL GS
r|Templat:Sumatera|Templat:Topik provinsi Indonesia
r|Templat:Intro daftar|Templat:Daftar
r|Templat:BEJ|Templat:BEI
r|Templat:Islam by country|Templat:Islam menurut negara
r|Templat:Country data NPL|Templat:Country data Nepal
r|Templat:Infobox animanga/Manga|Templat:Kotakinfo animanga/Cetakan
r|Templat:Future Dubai skyscrapers|Templat:Pencakar langit masa depan Dubai
r|Templat:Infobox legislature|Templat:Kotak info parlemen
r|Templat:Wakil presiden indonesia|Templat:Wakil Presiden Indonesia
r|Templat:Negara bagian West Virginia|Templat:Negara bagian Virginia Barat
r|Templat:Law of the United States|Templat:Hukum AS
r|Templat:Negara uni eropa|Templat:Uni Eropa
r|Templat:Penerjemahan Alkitab|Templat:Terjemahan Alkitab
r|Templat:Bandara-Skotlandia|Templat:Bandara di Skotlandia
r|Templat:Country data MAC|Templat:Country data Makau
r|Templat:Negara di Asia Tenggara|Templat:Asia Tenggara
r|Templat:Country data FR Yugoslavia|Templat:Country data Republik Federal Yugoslavia
r|Templat:TSG 1899 Hoffenheim squad|Templat:Skuat TSG 1899 Hoffenheim
r|Templat:Daftar tak lengkap|Templat:Daftar tidak lengkap
r|Templat:HariIniDalamSejarah/23 Mei|Templat:Hari Ini Dalam Sejarah/Mei
r|Templat:Pengguna Fans Manchester United|Templat:Pengguna Manchester United
r|Templat:Country data MYS|Templat:Country data Malaysia
r|Templat:Infobox Film Festival|Templat:Infobox film festival
r|Templat:Senimannegara|Templat:Senimanwn
r|Templat:Harry Potter characters|Templat:Karakter Harry Potter
r|Templat:Daftardiskusi/doc|Templat:Daftar diskusi/doc
r|Templat:Country data URY|Templat:Country data Uruguay
r|Templat:Blang Pidie, Aceh Barat Daya|Templat:Blangpidie, Aceh Barat Daya
r|Templat:Doc|Templat:Dokumentasi
r|Templat:Rhinos|Templat:Badak
r|Templat:Location map Brazil|Templat:Location map Brasil
r|Templat:Perangko|Templat:GambarPerangko
r|Templat:Selamatdatang/Preload|Templat:Selamat datang/Preload
r|Templat:BatasUSBT|Templat:Batas USBT
r|Templat:Daerah bekas penjajahan Belanda|Templat:Jajahan Belanda
r|Templat:Country data Cocos Islands|Templat:Country data Kepulauan Cocos (Keeling)
r|Templat:Infobox Company|Templat:Infobox Perusahaan
r|Templat:Karakter Transformers|Templat:Infobox Transformers
r|Templat:HariIniDalamSejarah/17 Mei|Templat:Hari Ini Dalam Sejarah/Mei
r|Templat:High-Importance|Templat:High-importance
r|Templat:Kml|Templat:GeoGroup
r|Templat:Country data SRB|Templat:Country data Serbia
r|Templat:HariIniDalamSejarah/21 Maret|Templat:Hari Ini Dalam Sejarah/Maret
r|Templat:HariIniDalamSejarah/26 Agustus|Templat:Hari Ini Dalam Sejarah/Agustus
r|Templat:Noref bio|Templat:Noref-bio
r|Templat:Country data Curacao|Templat:Country data Curaçao
r|Templat:Documentation/docname|Templat:Dokumentasi/doc
r|Templat:Skuad PD2010 Nigeria|Templat:Skuat PD2010 Nigeria
r|Templat:Country data FIN|Templat:Country data Finlandia
r|Templat:Oppose|Templat:Menolak
r|Templat:Location map Kalimantan Timur (regionals)|Templat:Location map Kalimantan Timur (wilayah)
r|Templat:Tigi timur, deiyai|Templat:Tigi Timur, Deiyai
r|Templat:Kotak info yuridiksi india tipe urban|Templat:Kotak info yuridiksi india/tipe-urban
r|Templat:Cluster|Templat:Infobox gugus bintang
r|Templat:Nocensor|Pengguna:Ariyanto/nosensor
r|Templat:Infobox serangan tornado|Templat:Infobox tornado outbreak
r|Templat:ArtikelPilihan|Templat:AP
r|Templat:Country data GRN|Templat:Country data Grenada
r|Templat:PRC-mainland|Templat:CHN
r|Templat:Waiting|Templat:Tunggu
r|Templat:Col-1-of-4|Templat:Col-4
r|Templat:Allrovi/movie|Templat:AllRovi movie
r|Templat:Essay|Templat:Esai
r|Templat:Nav tahun|Templat:Navtahun
r|Templat:HariIniDalamSejarah/13 November|Templat:Hari Ini Dalam Sejarah/November
r|Templat:Unsigned|Templat:Tanpattd
r|Templat:Incumbent succession box|Templat:Kotak suksesi petahana
r|Templat:Country data Castile dan León|Templat:Country data Castilla y León
r|Templat:Skuad PD2010 Paraguay|Templat:Skuat PD2010 Paraguay
r|Templat:Country data Norfolk Island|Templat:Country data Pulau Norfolk
r|Templat:HariIniDalamSejarah/11 Februari|Templat:Hari Ini Dalam Sejarah/Februari
r|Templat:TemplateLink|Templat:Tl
r|Templat:Bundesliga 2007-2008|Templat:Fußball-Bundesliga
r|Templat:Country data Holland|Templat:Country data Belanda
r|Templat:HariIniDalamSejarah/27 Oktober|Templat:Hari Ini Dalam Sejarah/Oktober
r|Templat:Jct/plate/NV|Templat:Jct/plate
r|Templat:Navboxes|Templat:Kelompok templat
r|Templat:Sort key|Templat:SortKey
r|Templat:Country data AIA|Templat:Country data Anguilla
r|Templat:Hi|Templat:Hi icon
r|Templat:Balapan F1|Templat:Balapan Formula Satu
r|Templat:HariIniDalamSejarah/29 April|Templat:Hari Ini Dalam Sejarah/April
r|Templat:Compact periodic table|Templat:Tabel periodik unsur kimia
r|Templat:Counties (judete) Rumania|Templat:County (judete) Rumania
r|Templat:Borussia Dortmund II squad|Templat:Skuat Borussia Dortmund II
r|Templat:Loss|Templat:Decrease
r|Templat:Bangunandanstrukturkota|Templat:Bangunan dan struktur kota
r|Templat:TGA|Templat:TON
r|Templat:Timnas sepak bola|Templat:Kotak info tim nasional sepak bola
r|Templat:Disambiguation|Templat:Disambig
r|Templat:Country data Antwerp|Templat:Country data Antwerpen
r|Templat:Infobox Province or territory of Canada|Templat:Infobox province or territory of Canada
r|Templat:Sub-cleanup|Templat:Sub-rapikan
r|Templat:Bangka Belitung|Templat:Kepulauan Bangka Belitung
r|Templat:CZS|Templat:CSK
r|Templat:Infobox Kementerian dalam negeri|Templat:Kotak info kementerian Indonesia
r|Templat:Eu|Templat:Eu icon
r|Templat:U.S. Counties|Templat:County di AS
r|Templat:Infobox political party/seats|Templat:Infobox partai politik/kursi
r|Templat:Country data Turkmen Soviet Socialist Republic|Templat:Country data RSS Turkmenistan
r|Templat:Infobox Governor General|Templat:Infobox Officeholder
r|Templat:Indiana Jones character|Templat:Infobox Indiana Jones character
r|Templat:Artikel|Templat:Main
r|Templat:Anak Abraham|Templat:Abraham
r|Templat:Cite document|Templat:Cite journal
r|Templat:Pesantren, Kota Kediri|Templat:Pesantren, Kediri
r|Templat:Tokoh wayang|Templat:Tokoh Wayang
r|Templat:Pemerintahan timor timur|Templat:Pemerintahan Timor Leste
r|Templat:Komponen elektronik|Templat:Komponen elektronika
r|Templat:Fb-bt|Templat:Bd
r|Templat:Infobox Space Shuttle|Templat:Infobox space shuttle
r|Templat:Gantinama/editintro/en|Wikipedia:Pengambilalihan nama pengguna/Permohonan/editintro
r|Templat:Country data RUS|Templat:Country data Rusia
r|Templat:Senaboi, Rokan Hilir|Templat:Sinaboi, Rokan Hilir
r|Templat:Country data Austria-Hungary|Templat:Country data Austria-Hongaria
r|Templat:Infobox President|Templat:Infobox Officeholder
r|Templat:Tet|Templat:Tet icon
r|Templat:SIE|Templat:SLE
r|Templat:Marshall-geo-stub|Templat:Kepulauan Marshall-geo-stub
r|Templat:Gubernur provinsi|Templat:Gubernur
r|Templat:NSE|Templat:National Stock Exchange of India
r|Templat:Term-penerbangan-stub|Templat:Dirgantara-istilah-stub
r|Templat:Country data CAM|Templat:Country data Kamboja
r|Templat:Infobox National Military|Templat:Infobox national military
r|Templat:Citation-needed|Templat:Fact
r|Templat:Former F1 driver|Templat:Pembalap F1
r|Templat:Kotawaringin Lama|Templat:Kotawaringin Lama, Kotawaringin Barat
r|Templat:Sumatera Barat/Kotak kiri|Portal:Sumatera Barat/Kotak kiri
r|Templat:Country data Georgian Soviet Socialist Republic|Templat:Country data RSS Georgia
r|Templat:Denominasi rupiah|Templat:Denominasi Rupiah
r|Templat:SkuadAustria EURO2008|Templat:Skuat PEropa 2008 Austria
r|Templat:Persib Bandung|Templat:Skuat Persib Bandung
r|Templat:Country data Rrc|Templat:Country data Cina
r|Templat:Kotak info universitas britania|Templat:Infobox Universitas
r|Templat:Skuad PD2010 Yunani|Templat:Skuat PD2010 Yunani
r|Templat:Pengguna penggemar bakso|Templat:Pengguna Penggemar Bakso
